transaction_id,trade_date,customer_id,account_id,security_id,amount,currency,country
TXN000000,2026-08-10,CUST1297,ACC298035,XX3837157475,5452.4,USD,NE
TXN000001,2026-08-11,CUST8817,ACC433217,XX4454889430,47835.84,GBP,CU
TXN000002,2026-07-24,CUST7402,ACC294938,XX1364656717,27387.83,GBP,PK
TXN000003,2026-08-07,CUST4929,ACC485119,XX2851059856,9710.4,GBP,AT
TXN000004,2026-07-21,CUST8051,ACC896061,XX1536767119,37123.51,GBP,ET
TXN000005,2026-07-23,CUST3470,ACC938108,XX3602020918,46110.3,USD,MC
TXN000006,2026-07-31,CUST1846,ACC164312,XX4022492926,943.17,EUR,KE
TXN000007,2026-07-18,CUST7171,ACC977924,XX2388672131,18630.94,GBP,MR
TXN000008,2026-07-31,CUST8003,ACC395850,XX1481915711,31613.17,GBP,AO
TXN000009,2026-07-24,CUST9682,ACC986552,XX9964846444,37635.2,USD,LT
TXN000010,2026-07-17,CUST5964,ACC895800,XX4663175460,45332.23,EUR,SY
TXN000011,2026-07-20,CUST6312,ACC774510,XX7159784230,42429.92,GBP,VE
TXN000012,2026-08-02,CUST7422,ACC472289,XX4752392248,32369.47,EUR,CN
TXN000013,2026-07-21,CUST6018,ACC681725,XX3897900180,2085.64,GBP,DO
TXN000014,2026-08-01,CUST4470,ACC900735,XX8326183255,11418.26,USD,AU
TXN000015,2026-07-18,CUST7822,ACC399045,XX3168433557,2316.24,GBP,RU
TXN000016,2026-07-23,CUST7961,ACC685388,XX6494311290,43127.18,GBP,GT
TXN000017,2026-07-23,CUST7480,ACC722269,XX8465793772,42083.5,USD,LU
TXN000018,2026-07-30,CUST7190,ACC835608,XX4795057081,15172.58,GBP,HT
TXN000019,2026-07-24,CUST9114,ACC141219,XX7065058185,6179.49,EUR,PK
TXN000020,2026-08-03,CUST6338,ACC438764,XX1776885452,19874.23,USD,CM
TXN000021,2026-08-02,CUST9817,ACC298129,XX9813485153,22298.34,GBP,AZ
TXN000022,2026-07-26,CUST4003,ACC576034,XX4189667650,48367.34,EUR,GH
TXN000023,2026-07-29,CUST4775,ACC122183,XX8960340941,43369.69,USD,LY
TXN000024,2026-08-02,CUST4902,ACC503526,XX4640353513,26535.55,EUR,VU
TXN000025,2026-08-01,CUST4086,ACC309414,XX1599637982,10495.06,USD,GT
TXN000026,2026-07-29,CUST6281,ACC157808,XX9726986117,17206.66,USD,AD
TXN000027,2026-08-04,CUST1623,ACC168919,XX3161003303,27361.15,GBP,PS
TXN000028,2026-07-17,CUST8871,ACC509813,XX1653544664,37590.1,USD,PT
TXN000029,2026-08-05,CUST9821,ACC218311,XX2025499887,30803.83,USD,BH
TXN000030,2026-08-08,CUST3999,ACC279251,XX7080605259,30994.27,GBP,GA
TXN000031,2026-08-02,CUST1772,ACC549267,XX7600074534,23841.5,EUR,US
TXN000032,2026-07-24,CUST9208,ACC238456,XX6574705734,28435.06,EUR,KG
TXN000033,2026-07-28,CUST9692,ACC755760,XX4093144512,38988.14,GBP,ZW
TXN000034,2026-08-06,CUST7555,ACC234865,XX6262959385,26604.94,USD,KZ
TXN000035,2026-07-18,CUST3588,ACC845576,XX1661400564,43081.47,EUR,BT
TXN000036,2026-07-15,CUST8598,ACC294679,XX3905548849,11106.46,USD,BA
TXN000037,2026-08-02,CUST7443,ACC321080,XX9442891550,13212.43,USD,GW
TXN000038,2026-07-14,CUST3672,ACC839948,XX3569675855,16362.48,EUR,CZ
TXN000039,2026-07-20,CUST8070,ACC103326,XX4048789840,26422.95,USD,CR
TXN000040,2026-07-20,CUST5296,ACC442051,XX7956354251,21032.94,GBP,DJ
TXN000041,2026-08-07,CUST6043,ACC879176,XX9257110266,7914.29,GBP,SO
TXN000042,2026-08-10,CUST8374,ACC602195,XX6665649353,23899.34,USD,AD
TXN000043,2026-07-31,CUST4045,ACC738884,XX2551135786,46469.03,GBP,MK
TXN000044,2026-07-22,CUST7102,ACC675007,XX4311512867,27970.26,EUR,PY
TXN000045,2026-07-31,CUST5720,ACC908534,XX5552152219,13849.43,GBP,DZ
TXN000046,2026-08-09,CUST1758,ACC132474,XX7445007405,48513.67,GBP,LV
TXN000047,2026-08-06,CUST3001,ACC140078,XX8147914051,38536.54,GBP,NG
TXN000048,2026-07-17,CUST7923,ACC754583,XX5332258494,35674.48,USD,BE
TXN000049,2026-07-13,CUST7901,ACC725340,XX7877852795,2648.88,EUR,MC
TXN000050,2026-07-16,CUST9522,ACC260979,XX1801587483,8576.78,USD,NL
TXN000051,2026-07-17,CUST6675,ACC898669,XX1974705413,37607.33,USD,ML
TXN000052,2026-07-28,CUST3639,ACC264459,XX8439268083,20230.07,USD,UY
TXN000053,2026-08-06,CUST2522,ACC781159,XX8638793202,31228.44,EUR,PA
TXN000054,2026-08-01,CUST5648,ACC506673,XX8789130126,12102.86,GBP,DK
TXN000055,2026-08-10,CUST9145,ACC131209,XX5045890534,15633.96,EUR,KI
TXN000056,2026-08-03,CUST8408,ACC215511,XX7250407923,34142.45,GBP,CM
TXN000057,2026-08-11,CUST9923,ACC620379,XX9814408243,46799.66,EUR,BF
TXN000058,2026-07-23,CUST5845,ACC985218,XX7349970178,10290.56,GBP,IT
TXN000059,2026-07-13,CUST2033,ACC576884,XX7734724317,48891.6,USD,MZ
TXN000060,2026-08-06,CUST9250,ACC384945,XX6619446425,32087.7,USD,TV
TXN000061,2026-07-25,CUST3974,ACC334594,XX3252298158,12126.67,EUR,BI
TXN000062,2026-08-11,CUST7152,ACC638999,XX4897872387,13917.8,USD,AL
TXN000063,2026-08-09,CUST3113,ACC482813,XX4242331800,46614.42,EUR,GN
TXN000064,2026-07-28,CUST6440,ACC723237,XX8324726366,5043.5,USD,SZ
TXN000065,2026-07-26,CUST7530,ACC119077,XX2561014609,9774.83,GBP,CH
TXN000066,2026-07-16,CUST7949,ACC235197,XX2616551768,41203.72,EUR,GR
TXN000067,2026-07-30,CUST4786,ACC639375,XX5184983044,49189.34,USD,SK
TXN000068,2026-07-29,CUST8624,ACC953306,XX1359953755,26799.28,EUR,SB
TXN000069,2026-07-22,CUST1258,ACC269682,XX1895672585,26183.88,EUR,MG
TXN000070,2026-08-03,CUST7515,ACC637210,XX6205819174,46964.27,USD,QA
TXN000071,2026-07-20,CUST2177,ACC721062,XX1986125479,24956.75,USD,BF
TXN000072,2026-08-07,CUST8907,ACC982630,XX7795324763,44333.13,USD,HU
