transaction_id,trade_date,customer_id,account_id,security_id,amount,currency,country
TXN000000,2026-07-28,CUST4739,ACC252091,XX9256978182,28150.96,GBP,OM
TXN000001,2026-08-09,CUST4057,ACC477895,XX1778718734,45411.26,EUR,BJ
TXN000002,2026-07-15,CUST8740,ACC935489,XX9109438684,3883.73,EUR,AT
TXN000003,2026-07-23,CUST7520,ACC605355,XX5073404301,10178.58,USD,PK
TXN000004,2026-07-15,CUST7352,ACC735635,XX1624866434,28693.33,EUR,ML
TXN000005,2026-08-04,CUST5393,ACC308145,XX2094714492,41467.47,GBP,TW
TXN000006,2026-07-25,CUST5499,ACC934503,XX8109903755,14067.77,USD,ST
TXN000007,2026-07-22,CUST7349,ACC857798,XX7985506552,14732.16,USD,WS
TXN000008,2026-08-11,CUST1360,ACC224709,XX5494090841,4462.01,USD,PA
TXN000009,2026-08-01,CUST8602,ACC709521,XX9431542911,5587.5,USD,CL
TXN000010,2026-07-21,CUST2742,ACC371773,XX2848521281,39786.63,USD,LY
TXN000011,2026-07-25,CUST1900,ACC208914,XX9439640131,37099.81,EUR,GN
TXN000012,2026-07-19,CUST6650,ACC466731,XX3738538343,48989.34,GBP,NG
TXN000013,2026-08-02,CUST1201,ACC426256,XX8937167077,18369.23,EUR,KZ
TXN000014,2026-07-25,CUST8107,ACC112445,XX1789939388,12989.52,USD,BB
TXN000015,2026-08-10,CUST5030,ACC718259,XX6978204322,19053.8,GBP,ER
TXN000016,2026-08-07,CUST1370,ACC504484,XX4357799040,3909.47,EUR,QA
TXN000017,2026-07-20,CUST9158,ACC830143,XX3520767509,1372.9,GBP,ST
TXN000018,2026-08-05,CUST2394,ACC560787,XX8096031883,34557.54,EUR,KI
TXN000019,2026-07-22,CUST8457,ACC641121,XX7390096915,46059.97,EUR,LC
TXN000020,2026-08-03,CUST7328,ACC319995,XX2410677333,42087.73,EUR,CL
TXN000021,2026-07-17,CUST9469,ACC291932,XX4560255217,40463.75,EUR,LK
TXN000022,2026-07-27,CUST2538,ACC345097,XX3019842997,22554.85,GBP,MR
TXN000023,2026-07-17,CUST1355,ACC239123,XX7253290950,13636.2,GBP,MN
TXN000024,2026-08-01,CUST8859,ACC818523,XX9447764992,45503.05,GBP,BN
TXN000025,2026-07-24,CUST9552,ACC291288,XX9417352190,49789.47,EUR,MD
TXN000026,2026-07-15,CUST5854,ACC803725,XX9848814143,918.51,USD,LR
TXN000027,2026-07-23,CUST9394,ACC100865,XX5787501619,40939.56,GBP,BS
TXN000028,2026-08-06,CUST7788,ACC339767,XX8596167038,25060.56,GBP,SR
TXN000029,2026-08-08,CUST8243,ACC552825,XX1533006770,2124.98,EUR,KW
TXN000030,2026-07-19,CUST9352,ACC556213,XX5256814987,35932.45,EUR,LY
TXN000031,2026-07-24,CUST1514,ACC975878,XX2763459494,23407.61,EUR,AU
TXN000032,2026-07-25,CUST8269,ACC292244,XX4642565845,2860.5,GBP,MH
TXN000033,2026-08-08,CUST3684,ACC553039,XX2630337322,36752.68,EUR,MR
TXN000034,2026-07-19,CUST2069,ACC480679,XX7112359476,20368.36,EUR,PE
TXN000035,2026-07-14,CUST1639,ACC226870,XX8719616031,49904.31,USD,NL
TXN000036,2026-07-17,CUST9197,ACC903639,XX9258001484,47053.28,USD,ML
TXN000037,2026-08-02,CUST6057,ACC214550,XX6015078984,27391.86,EUR,NP
TXN000038,2026-07-21,CUST7604,ACC869982,XX2083761765,30893.71,GBP,IQ
TXN000039,2026-08-10,CUST6098,ACC607692,XX7905922507,39598.97,GBP,AR
TXN000040,2026-07-15,CUST9445,ACC622514,XX5510749699,14514.22,GBP,US
TXN000041,2026-07-16,CUST3901,ACC177205,XX5001394041,28273.37,EUR,PE
TXN000042,2026-08-08,CUST8669,ACC356667,XX1157410639,47866.18,USD,TH
TXN000043,2026-08-11,CUST4779,ACC483408,XX4196273024,28977.85,GBP,MN
TXN000044,2026-07-30,CUST5317,ACC310784,XX6944442103,39523.32,USD,ZM
TXN000045,2026-07-22,CUST1661,ACC208781,XX5234271953,8006.7,GBP,KG
TXN000046,2026-07-28,CUST9522,ACC522727,XX6491527403,15071.32,GBP,NR
TXN000047,2026-07-17,CUST9718,ACC644881,XX3586729360,34650.8,EUR,TG
TXN000048,2026-08-10,CUST7943,ACC780376,XX9064431632,11305.06,GBP,CD
TXN000049,2026-07-16,CUST9665,ACC249741,XX1367410477,3040.2,GBP,ME
TXN000050,2026-07-26,CUST6160,ACC911147,XX4243734653,42951.17,USD,GE
TXN000051,2026-07-26,CUST9468,ACC301116,XX8442474075,40984.7,USD,IE
TXN000052,2026-08-08,CUST9290,ACC684774,XX2816923611,26340.04,GBP,PL
TXN000053,2026-08-08,CUST7562,ACC303537,XX1156475499,31667.62,EUR,LT
TXN000054,2026-08-09,CUST3935,ACC129873,XX4080571318,7359.3,USD,SE
TXN000055,2026-08-06,CUST7079,ACC408604,XX6580257690,7528.63,USD,LY
TXN000056,2026-07-24,CUST8048,ACC278275,XX5464390800,3682.71,USD,ET
TXN000057,2026-08-06,CUST3571,ACC704232,XX1832812038,39203.72,USD,MK
TXN000058,2026-07-14,CUST3025,ACC808379,XX2490827443,922.58,USD,CO
TXN000059,2026-07-14,CUST7475,ACC316558,XX6687682598,10009.94,USD,SG
TXN000060,2026-08-05,CUST4653,ACC486410,XX4049915034,12496.96,GBP,CV
TXN000061,2026-07-15,CUST7868,ACC843708,XX3643362699,2824.17,EUR,GB
TXN000062,2026-07-27,CUST4884,ACC587050,XX4277534908,15073.01,USD,EE
TXN000063,2026-08-03,CUST5540,ACC394581,XX3233955152,35213.81,GBP,PA
TXN000064,2026-08-06,CUST8144,ACC211368,XX4730937692,31783.65,USD,IQ
TXN000065,2026-07-29,CUST5669,ACC263096,XX9804090782,47046.51,USD,CM
TXN000066,2026-07-27,CUST4154,ACC123584,XX4253150215,29504.11,GBP,MH
TXN000067,2026-07-29,CUST9971,ACC116745,XX7439968158,6819.78,USD,TR
TXN000068,2026-08-05,CUST8769,ACC328037,XX4106115835,28875.8,USD,MG
TXN000069,2026-08-02,CUST9507,ACC213298,XX1569802454,48256.13,USD,NZ
TXN000070,2026-08-11,CUST9063,ACC297864,XX2244180753,47150.51,USD,MG
TXN000071,2026-07-19,CUST6852,ACC177158,XX3687123372,22753.99,USD,TG
TXN000072,2026-08-04,CUST3390,ACC697090,XX6355423106,1141.67,EUR,GQ
TXN000073,2026-07-23,CUST7860,ACC350228,XX6837583121,24364.29,USD,PW
TXN000074,2026-08-02,CUST9745,ACC579121,XX6769935564,1639.78,USD,MU
TXN000075,2026-08-04,CUST1942,ACC914813,XX9640556264,10558.65,GBP,KW
TXN000076,2026-07-23,CUST3967,ACC426511,XX6004010387,14421.53,EUR,GR
TXN000077,2026-07-31,CUST8961,ACC562725,XX9848205669,2304.37,GBP,RW
