transaction_id,trade_date,customer_id,account_id,security_id,amount,currency,country
TXN000000,2026-08-06,CUST1083,ACC247710,XX9814564253,18494.58,EUR,AR
TXN000001,2026-08-04,CUST9446,ACC424412,XX9167726306,8590.73,GBP,MD
TXN000002,2026-08-07,CUST8201,ACC586914,XX7704315054,38988.43,USD,IL
TXN000003,2026-07-28,CUST1920,ACC346843,XX9535836174,29242.45,EUR,ZA
TXN000004,2026-07-31,CUST1233,ACC966081,XX1594295201,46698.88,GBP,AG
TXN000005,2026-07-17,CUST3922,ACC392400,XX8967451745,23024.08,EUR,CH
TXN000006,2026-07-26,CUST3828,ACC716321,XX5453273855,,USD,TN
TXN000007,2026-08-03,CUST8444,ACC114697,XX5876710808,28020.74,GBP,CY
TXN000008,2026-07-25,CUST2593,ACC169783,XX7358544200,9590.98,EUR,BB
TXN000009,2026-08-10,CUST4670,ACC744591,XX2398364784,28751.33,USD,EE
TXN000010,2026-07-22,CUST7906,ACC883445,XX7802964442,7814.78,EUR,BS
TXN000011,2026-08-05,CUST7314,ACC838017,XX9499925904,20949.63,USD,CI
TXN000012,2026-07-21,CUST3442,ACC866075,XX2684965756,31641.95,GBP,ML
TXN000013,2026-07-30,CUST1867,ACC657003,XX4493019916,10300.62,EUR,IR
TXN000014,2026-07-22,CUST9181,ACC142796,XX2797674771,20861.73,USD,LY
TXN000015,2026-07-25,CUST3408,ACC327366,XX7860848239,46915.56,USD,LC
TXN000016,2026-07-22,CUST1327,ACC978303,XX3908618696,185.67,GBP,KG
TXN000017,2026-07-31,CUST3727,ACC130712,XX7779964492,14462.69,GBP,GQ
TXN000018,2026-08-08,CUST8010,ACC896306,XX4644899273,1841.71,USD,IS
TXN000019,2026-08-07,CUST6045,ACC797161,XX2527255681,45681.23,EUR,AE
TXN000020,2026-08-11,CUST2077,ACC869631,XX4635635403,11930.6,EUR,BW
TXN000021,2026-07-19,CUST7596,ACC167059,XX4204690826,26998.38,EUR,CY
TXN000022,2026-08-02,CUST3771,ACC123102,XX6664418374,41283.08,USD,TL
TXN000023,2026-07-19,CUST9084,ACC181609,XX7091142017,47592.06,EUR,EE
TXN000024,2026-07-23,CUST4258,ACC834523,XX4710401246,8696.32,GBP,AF
TXN000025,2026-07-24,CUST3642,ACC935449,XX4361414735,12371.9,EUR,TZ
